Job Title,Company,Salary,Location
"Application Development Manager/ Java Lead (Java, AWS)",Công Ty Cổ Phần Uniben,Lương: Cạnh tranh,Hồ Chí Minh
Product Owner - Web3 (DeFi / GameFi / RWA),Công ty Cổ phần Tập đoàn Meey Land,Lương: 45 Tr - 55 Tr VND,Hà Nội
Nhân Viên Quản Lý Sản Phẩm Và Điều Phối,Công Ty Cổ Phần Giải Pháp Thanh Toán Việt Nam (VNPAY),Lương: Cạnh tranh,Hà Nội
Chuyên viên cấp cao/Chuyên gia Rủi ro hoạt động mảng CNTT - Khối Quản trị rủi ro,Ngân Hàng TMCP Quốc Dân (NCB),Lương: Cạnh tranh,Hà Nội
IT Business Analyst,Công Ty Tài Chính Mirae Asset (Việt Nam),Lương: Cạnh tranh,Hồ Chí Minh
System Engineer,CÔNG TY TÀI CHÍNH TNHH NGÂN HÀNG TMCP SÀI GÒN - HÀ NỘI (SHBFinance),Lương: Cạnh tranh,Hà Nội
IT ERP (Kinh nghiệm S/4HANA),Mitsubishi Electric Vietnam,Lương: Cạnh tranh,Hồ Chí Minh
SAP SALES MANAGER,CÔNG TY CỔ PHẦN CÔNG NGHỆ CITEK,Lương: Cạnh tranh,Hồ Chí Minh
Deputy Chief Information Technology Officer,CÔNG TY TÀI CHÍNH TNHH NGÂN HÀNG TMCP SÀI GÒN - HÀ NỘI (SHBFinance),Lương: Cạnh tranh,Hồ Chí Minh
Senior Product Manager - Ứng Dụng Saas,CÔNG TY TNHH DREAM TALENT,Lương: Cạnh tranh,Hồ Chí Minh
Test Leader - Fuel Level Sensor Design,CÔNG TY CỔ PHẦN ĐIỆN TỬ SOJI,Lương: 15 Tr - 35 Tr VND,Hà Nội
Nhân Viên Kinh Doanh _ TPHCM _ Thu nhập đến 25tr,CÔNG TY CỔ PHẦN GIẢI PHÁP VÀ CÔNG NGHỆ VIETNIX,Lương: 10 Tr - 25 Tr VND,Hồ Chí Minh
Nhân viên Kinh doanh Thị trường/Direct Sales,Công ty TNHH FINAN (Sổ Bán Hàng),Lương: 10 Tr - 50 Tr VND,Hồ Chí Minh
Chuyên Viên Sản Phẩm Thanh Toán,NGÂN HÀNG TMCP NGOẠI THƯƠNG VIỆT NAM (VIETCOMBANK),Lương: Cạnh Tranh,Hà Nội
Chuyên Gia Thiết Kế Giải Pháp Số,NGÂN HÀNG TMCP NGOẠI THƯƠNG VIỆT NAM (VIETCOMBANK),Lương: Cạnh Tranh,Hà Nội
SAP Sales Executive,CÔNG TY CỔ PHẦN CÔNG NGHỆ CITEK,Lương: Cạnh Tranh,"Hà Nội
Hồ Chí Minh"
OTC Regional Business Solutions Expert,"SHISEIDO COSMETICS VIETNAM CO., LTD",Lương: Cạnh Tranh,Hồ Chí Minh
HO - Chuyên Viên Quản Lý Rủi Ro Công Nghệ Thông Tin (IT Risk),ACB - Ngân Hàng TMCP Á Châu,Lương: Cạnh Tranh,Hồ Chí Minh
Solution Consultant,QTSC - CÔNG TY TNHH MTV PHÁT TRIỂN CÔNG VIÊN PHẦN MỀM QUANG TRUNG,Lương: Cạnh Tranh,Hồ Chí Minh
Senior AI Engineer,CareerViet,Lương: Cạnh Tranh,Hồ Chí Minh
Product Manager,CareerViet,Lương: Cạnh Tranh,Hồ Chí Minh
IT Helpdesk,DIGI-TEXX VIETNAM,Lương: 10 Tr - 14 Tr VND,Hồ Chí Minh
Chuyên viên Quản trị hệ thống phần mềm/Chuyên viên Quản trị hệ thống phần mềm và Quản trị cơ sở dữ liệu,Công ty TNHH Chứng khoán Ngân hàng TMCP Ngoại thương Việt Nam (VCBS - Vietcombank Securities),Lương: Cạnh Tranh,Hà Nội
Chuyên viên Phát triển phần mềm - Tự động hóa và ứng dụng AI,Công ty TNHH Chứng khoán Ngân hàng TMCP Ngoại thương Việt Nam (VCBS - Vietcombank Securities),Lương: Cạnh Tranh,Hà Nội
HEAD OF DATA DEPARTMENT (DATA MANAGER)(MỚI),Bảo mật,Lương: Cạnh Tranh,Hồ Chí Minh
ERP ADMINISTRATOR,Công Ty TNHH Bodynits Tiền Giang,Lương: Cạnh Tranh,Hồ Chí Minh
HEAD OF AI DEPARTMENT(MỚI),Tập Đoàn CT Group Việt Nam,Lương: Cạnh Tranh,Hồ Chí Minh
Trưởng nhóm IT(FMCG)(MỚI),CÔNG TY CỔ PHẦN THƯƠNG MẠI DỊCH VỤ SẢN XUẤT HƯƠNG THỦY,Lương: 20 Tr - 30 Tr VND,Hồ Chí Minh
Business Analyst,Công ty Cổ phần Mỹ phẩm Quốc tế Thùy Dung,Lương: 20 Tr - 35 Tr VND,Hà Nội
Platform Engineering,Công Ty CP Vàng Bạc Đá Quý Phú Nhuận - PNJ,Lương: Cạnh Tranh,Hồ Chí Minh
Kỹ sư hạ tầng IT,CÔNG TY TNHH ĐIỆN KHÍ QUỐC QUANG (VIỆT NAM),Lương: Cạnh Tranh,Quảng Nam
Chuyên viên vận hành hệ thống SAP (Module PP_QM),BETRIMEX - Công Ty Cổ Phần Xuất Nhập Khẩu Bến Tre,Lương: Cạnh Tranh,Hồ Chí Minh
Nhân Viên Vận Hành Triển Khai Phần Mềm,BETRIMEX - Công Ty Cổ Phần Xuất Nhập Khẩu Bến Tre,Lương: 12 Tr - 15 Tr VND,Hồ Chí Minh
Expert Software Engineer (AWS),Công Ty CP Vàng Bạc Đá Quý Phú Nhuận - PNJ,Lương: Cạnh Tranh,Hồ Chí Minh
SOC ENGINEER,Công Ty Cổ Phần Vacxin Việt Nam,Lương: Cạnh Tranh,Hồ Chí Minh
Security Operations Center Tier 2 Engineer (SOC Tier 2),Công ty TNHH Viettel - CHT,Lương: Cạnh Tranh,Hà Nội
Senior Data Architect - TNTech - 2V046,Tập đoàn ROX (ROX Group),Lương: Cạnh Tranh,Hà Nội
Agile Coach/Scrum Master - HO - 2V049,Tập đoàn ROX (ROX Group),Lương: Cạnh Tranh,Hà Nội
Giám đốc Giải pháp Ứng dụng (Tech Manager - Banking) - TNTech - 4B032,Tập đoàn ROX (ROX Group),Lương: Cạnh Tranh,Hà Nội
Giám đốc An ninh thông tin (Head of Cyber Security) - TNEX - 4B031,Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam (MSB),Lương: Cạnh Tranh,Hà Nội
Nhân Viên SEO Và Quản Trị Website,Tân Châu Home,Lương: Trên 15 Tr VND,Dak Lak
Nhân viên Phân tích nghiệp vụ (P.PTNV),Công Ty Cổ Phần Giải Pháp Thanh Toán Việt Nam (VNPAY),Lương: Cạnh tranh,Hà Nội
AI ENGINEER,Công Ty Cổ Phần Giải Pháp Thanh Toán Việt Nam (VNPAY),Lương: Cạnh tranh,Hà Nội
System Engineer,Công ty TNHH Viettel - CHT,Lương: Cạnh tranh,Hà Nội
Trưởng nhóm IT hạ tầng,Công Ty Cổ Phần Vacxin Việt Nam,Lương: Cạnh tranh,Hồ Chí Minh
ATS Software Development Engineer,CÔNG TY TNHH CÔNG NGHIỆP MINDA VIỆT NAM,Lương: Cạnh tranh,Hồ Chí Minh
Chuyên viên Quản trị mạng (IT Network),Ngân Hàng Thương Mại Cổ Phần Bảo Việt,Lương: Cạnh tranh,Hà Nội
Chuyên viên Quản trị Cơ sở Hạ tầng,Ngân Hàng Thương Mại Cổ Phần Bảo Việt,Lương: Cạnh tranh,Hà Nội
Chuyên viên quản lý sản phẩm (Product Owner),Công Ty Cổ Phần Giải Pháp Thanh Toán Việt Nam (VNPAY),Lương: 25 Tr - 40 Tr VND,Hà Nội
Chuyên Viên Quản Trị Hệ Thống (System Engineer),Công Ty Cổ Phần Giải Pháp Thanh Toán Việt Nam (VNPAY),Lương: 25 Tr - 40 Tr VND,Hà Nội
Nhân viên thời vụ phòng Hệ thống Công nghệ thông tin,Honda Việt Nam,"Lương: Trên 11,5 Tr VND",Vĩnh Phúc
Senior Data Analyst,CÔNG TY CỔ PHẦN DI CHUYỂN VÀ THÔNG MINH GSM,"Lương: 700 - 1,500 USD","Hồ Chí Minh
Hà Nội"
UX-UI Designer,Công ty TNHH Microtec Việt Nam,Lương: Cạnh tranh,Hà Nội
Chuyên Viên Tư Vấn Triển Khai Phần Mềm / Senior Software Consultant,OMN1 Solution,Lương: Cạnh tranh,Hồ Chí Minh
Instructional Designer,Simpson Strong Tie Viet Nam Company Limited,Lương: Cạnh tranh,Hồ Chí Minh
[Hà Nội] CVCC/CVC Sản phẩm Ngân hàng số Khách hàng Doanh nghiệp,Ngân Hàng TMCP Tiên Phong (TPBank),Lương: Cạnh tranh,Hà Nội
SAP BASIS CONSULTANT (Juniors / Mid-Level / Seniors),Teamwork Vietnam Ltd,Lương: 13 Tr - 60 Tr VND,Hồ Chí Minh
Business Analyst,Bảo mật,Lương: Cạnh tranh,Hồ Chí Minh
R&D Software Senior Engineer/ Supervisor,Panasonic Appliances Vietnam,Lương: Cạnh tranh,Hưng Yên
R&D Software Design Engineer,Panasonic Appliances Vietnam,Lương: Cạnh tranh,Hưng Yên
Software Engineering Manager,Tập Đoàn CT Group Việt Nam,Lương: Cạnh Tranh,Hồ Chí Minh
CyberSecurity Engineer,Tập Đoàn CT Group Việt Nam,Lương: Cạnh Tranh,Hồ Chí Minh
Data Engineer,Tập Đoàn CT Group Việt Nam,Lương: Cạnh Tranh,Hồ Chí Minh
"Chuyên gia, Chuyên viên cao cấp Kiến trúc ứng dụng - Solution Architect - Khối Công nghệ thông tin (HOLT.10)",Ngân Hàng TMCP Quân Đội,Lương: Cạnh Tranh,Hà Nội
"MB Trainee - AI Engineer (Fresher, Intern) - Khối Công nghệ thông tin (HOLT.14)",Ngân Hàng TMCP Quân Đội,Lương: Cạnh Tranh,Hà Nội
"MB Trainee - BackEnd Engineer (Intern, Fresher) - Khối Công nghệ thông tin (HOLT.09)",Ngân Hàng TMCP Quân Đội,Lương: Cạnh Tranh,Hà Nội
"(Middle, Senior) BackEnd Engineer (Java, Spring Boot) - Khối Công nghệ thông tin (HOLT.11)",Ngân Hàng TMCP Quân Đội,Lương: Cạnh Tranh,Hà Nội
"(Middle, Senior) FullStack Developer - Khối Công nghệ thông tin (HOLT.12)",Ngân Hàng TMCP Quân Đội,Lương: Cạnh Tranh,Hà Nội
AI Engineer (Computer Vision/NPL/LLM) - Khối Công nghệ thông tin (HOLT.13),Ngân Hàng TMCP Quân Đội,Lương: Cạnh Tranh,Hà Nội
"[Junior, Senior] BackEend Engineer (Java, Spring Boot) - Khối Công nghệ thông tin (HOLT.03)",Ngân Hàng TMCP Quân Đội,Lương: Cạnh Tranh,Hà Nội
"FullStack Developer (Junior, Senior) - Khối Công nghệ thông tin (HOLT.04)",Ngân Hàng TMCP Quân Đội,Lương: Cạnh Tranh,Hà Nội
Chuyên viên cao cấp Mô hình rủi ro,Ngân Hàng TMCP Sài Gòn - Hà Nội ( SHB ),Lương: Cạnh Tranh,Hà Nội
CRM MANAGER,Công Ty TNHH Thương Mại Dịch Vụ Xuất Nhập Khẩu The Vigo,Lương: Cạnh Tranh,Hồ Chí Minh
Mobile APP Developer (iOS Native),LITETRACE VIET NAM CO.LTD,Lương: Cạnh Tranh,Hồ Chí Minh
Test Engineer/ Kỹ Sư Kiểm Thử,LITETRACE VIET NAM CO.LTD,Lương: Cạnh Tranh,Hồ Chí Minh
MCU Softerware Engineer,LITETRACE VIET NAM CO.LTD,Lương: Cạnh Tranh,Hồ Chí Minh
Nhân Viên Kinh Doanh Máy Tính - Lương cạnh tranh từ 12 - 20 triệu,CÔNG TY TNHH TMDV & PTTT TÂN PHÁT,Lương: 12 Tr - 20 Tr VND,"Hà Nội
Hồ Chí Minh"
INFRASTRUCTURE NETWORK ENGINEER(MỚI),CÔNG TY TNHH CRYSTAL ELEGANCE TEXTILES VIỆT NAM,Lương: Cạnh Tranh,Bình Dương
Chuyên viên Phân tích nghiệp vụ,Công ty Cổ phần CANIFA,Lương: 15 Tr - 30 Tr VND,Hà Nội
[Hoan Kiem - Hanoi] IT Service Desk Technician,TALENTNET CORPORATION,Lương: 30 Tr - 33 Tr VND,Hà Nội
ERP developer,Phuc Thang Fine Furniture,Lương: Cạnh Tranh,Bình Dương
IT Technical Admin – Infor EAM,TỔNG CÔNG TY CỔ PHẦN THƯƠNG MẠI XÂY DỰNG,Lương: Cạnh Tranh,Quảng Ngãi
Trưởng Nhóm Hệ Thống Bảo Trì – Tài Sản (EAM),TỔNG CÔNG TY CỔ PHẦN THƯƠNG MẠI XÂY DỰNG,Lương: Cạnh Tranh,Quảng Ngãi
"Chuyên viên Quản trị rủi ro an toàn thông tin, Phòng Quản trị rủi ro hoạt động, Khối Quản trị rủi ro",Ngân hàng TMCP Đại Chúng Việt Nam - PVcomBank,Lương: Cạnh Tranh,Hà Nội
Data Engineer Leader,Công Ty Cổ Phần TARA,Lương: Cạnh Tranh,Hồ Chí Minh
Fulltime Odoo Developer có kinh nghiệm,Nobiware,Lương: 17 Tr - 22 Tr VND,Hồ Chí Minh
C++ / C# Talented Developers,Bảo mật,Lương: 10 Tr - 60 Tr VND,Hà Nội
Giám sát hỗ trợ SAP cao cấp (Logistic SD/MM/PP/QM),Công Ty Cổ Phần Tập Đoàn TH,Lương: 25 Tr - 35 Tr VND,Hà Nội
CV/CVC/CVCC Vận hành ứng dụng Quản trị Doanh nghiệp,Ngân hàng TMCP Lộc Phát Việt Nam (LPBank),Lương: Cạnh Tranh,Hà Nội
Chuyên viên lập trình ABAP(MỚI),Công ty Cổ phần Nông nghiệp BAF Việt Nam,Lương: Cạnh Tranh,Hồ Chí Minh
IT Helpdesk (F&B | Retail) (MỚI),CÔNG TY TNHH DỊCH VỤ THỰC PHẨM VÀ GIẢI KHÁT VIỆT NAM VFBS,Lương: Cạnh tranh,Hồ Chí Minh
Devops Engineer (MỚI),LacViet Computing Corporation,Lương: 15 Tr - 28 Tr VND,Hồ Chí Minh
IT Staff,Panasonic Appliances Vietnam,Lương: Cạnh tranh,Hưng Yên
Junior Product Specialist,Công ty Cổ Phần Phân Phối Việt Nét,Lương: 15 Tr - 20 Tr VND,Hà Nội
Nhân Viên Kinh Doanh Phân Phối Linh Kiện Máy Tính,Công ty TNHH Xu hướng Công nghệ số DGT,Lương: Cạnh tranh,"Hà Nội
Hồ Chí Minh"
Trưởng Phòng Kinh Doanh Phân Phối Số 2,Công ty TNHH Xu hướng Công nghệ số DGT,Lương: Cạnh tranh,Hà Nội
Product Manager,Công ty Cổ Phần Phân Phối Việt Nét,Lương: 25 Tr - 40 Tr VND,Hà Nội
Trưởng nhóm Nghiên cứu và Phát triển thị trường,Công ty Cổ phần CANIFA,Lương: 25 Tr - 40 Tr VND,Hà Nội
Senior DevOps,Tập Đoàn CT Group Việt Nam,Lương: Cạnh tranh,Hồ Chí Minh
CHUYÊN VIÊN QUẢN LÝ CHẤT LƯỢNG,CÔNG TY CỔ PHẦN CÔNG NGHỆ FINVIET,Lương: Cạnh tranh,Hồ Chí Minh
Kỹ sư Cao cấp Phần mềm Điều khiển Động cơ Điện,Tập Đoàn CT Group Việt Nam,Lương: Cạnh tranh,Hồ Chí Minh
Solution Architect Supervisor,"HD SAISON Finance Co., Ltd",Lương: Cạnh tranh,Hồ Chí Minh
Data Scientist (Tuyển mở rộng),Công Ty TNHH T.M.G,Lương: Cạnh tranh,Hồ Chí Minh
Business Operation Analyst,Cty BioTuring,Lương: Cạnh tranh,Hồ Chí Minh
Nhân viên kế toán bán hàng thời vụ,"CÔNG TY TNHH NHÂN SINH PHÚC (NSP CO., LTD.)",Lương: 8 Tr - 10 Tr VND,Hồ Chí Minh
AI Content Creator (SEO AI & Performance),CÔNG TY TNHH HQ SING,Lương: 23 Tr - 30 Tr VND,Hồ Chí Minh
Business Analyst,Công ty CP Đầu Tư TM và Phát Triển Công Nghệ FSI,Lương: 12 Tr - 15 Tr VND,Đà Nẵng
Scrum Master - Khối Chuyển đổi,Ngân Hàng TMCP Sài Gòn - Hà Nội ( SHB ),Lương: Cạnh tranh,Hà Nội
Senior Risk Analytics Specialist (Risk Portfolio team),FE CREDIT,Lương: Cạnh tranh,Hồ Chí Minh
Nhân viên Giám Sát Camera,CÔNG TY CỔ PHẦN TRANSIMEX,Lương: 13 Tr - 15 Tr VND,Hồ Chí Minh
Trưởng nhóm Kinh doanh,Tập Đoàn CT Group Việt Nam,Lương: 35 Tr - 40 Tr VND,Hồ Chí Minh
Nhân Viên Kiểm Soát Chất Lượng – QC,VĂN PHÒNG ĐẠI DIỆN CÔNG TY TNHH AMREP VIỆT NAM TẠI THÀNH PHỐ HÀ NỘI,Lương: Lên đến 14 Tr VND,Đồng Nai
Quản Lý Kinh Doanh Kênh Phân Phối Miền Bắc (Hàng CNTT),Công ty TNHH Acer Việt Nam,Lương: 8 Tr - 15 Tr VND,Hà Nội
KỸ THUẬT THI CÔNG ĐIỆN – ĐIỆN NHẸ,CÔNG TY TNHH TM DV XUẤT NHẬP KHẨU NAM THẮNG,Lương: 8 Tr - 17 Tr VND,Hồ Chí Minh
"Nhân viên thiết kế chuyển động 27027 - Quận 1, HCM",Công Ty TNHH Reeracoen Việt Nam,Lương: 20 Tr - 30 Tr VND,Hồ Chí Minh
PHÓ PHÒNG BẢO TRÌ ĐIỆN NHẸ,CÔNG TY CP THƯƠNG MẠI - DỊCH VỤ SAO NAM AN,Lương: 18 Tr - 25 Tr VND,Hồ Chí Minh
CHUYÊN VIÊN PHÂN TÍCH NGHIỆP VỤ (BA),Công ty Cổ phần đầu tư phát triển máy Việt Nam,Lương: 13 Tr - 25 Tr VND,Hà Nội
"Team Lead, DevOps Engineer",California Wellness Group,Lương: Cạnh Tranh,Hồ Chí Minh
"Team Lead, Database Management & Data Analytics",California Wellness Group,Lương: Cạnh Tranh,Hồ Chí Minh
Senior Software Engineer – CRM & ERP Systems,California Wellness Group,Lương: Cạnh Tranh,Hồ Chí Minh
P. Khoa học dữ liệu - CVCC Khoa học dữ liệu,Ngân Hàng TMCP Phương Đông - OCB,Lương: Cạnh Tranh,Hồ Chí Minh
IT Web & Automation Specialist,CÔNG TY CỔ PHẦN INFIPOWER,Lương: 18 Tr - 28 Tr VND,Hồ Chí Minh
TỔ PHÓ IT - PHẦN CỨNG,CÔNG TY TRÁCH NHIỆM HỮU HẠN SÀI GÒN PRECISION,Lương: Cạnh Tranh,Hồ Chí Minh
